GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api,com.manut.api.entities,Tank,89,34,14,0,21,11,18,5,11,5
api,com.manut.api.entities,Vehicle,205,82,14,0,24,27,33,15,26,15
api,com.manut.api.entities,Auditable,211,3,38,0,8,1,32,1,13,1
api,com.manut.api.entities,Fuel,89,34,14,0,21,11,18,5,11,5
api,com.manut.api.entities,Client,178,166,14,0,35,22,44,3,37,3
api,com.manut.api.entities,Plan,185,13,14,0,32,4,33,1,26,1
api,com.manut.api.entities,User,174,8,12,0,42,3,31,1,25,1
api,com.manut.api.entities,Pump,89,34,14,0,21,11,18,5,11,5
api,com.manut.api.entities,Driver,97,46,14,0,21,15,20,7,13,7
api,com.manut.api.entities,FuelingSyncedEvent,10,0,0,0,4,0,2,0,2,0
api,com.manut.api.entities,Fueling,157,165,14,0,22,24,16,47,9,47
api,com.manut.api.entities,Station,97,46,14,0,21,15,20,7,13,7
api,com.manut.api.entities,PlanVehiclePK,26,0,0,0,5,0,6,0,6,0
api,com.manut.api.entities,PlanVehicle,101,0,0,0,23,0,18,0,18,0
api,com.manut.api.entities,Product,108,8,14,0,28,3,20,1,13,1
api,com.manut.api.entities,ServiceTask,109,3,14,0,30,2,20,1,13,1
api,com.manut.api.entities,Attendant,101,52,14,0,21,17,21,8,14,8
api,com.manut.api.entities,Company,97,46,14,0,21,15,20,7,13,7
api,com.manut.api.entities,Task,159,13,14,0,28,3,28,1,21,1
api,com.manut.api.entities,Role,83,8,8,0,22,3,13,1,9,1
api,com.manut.api.entities,ServiceOrder,129,11,14,0,29,4,26,1,19,1
api,com.manut.api.services.exceptions,ForbiddenException,4,0,0,0,2,0,1,0,1,0
api,com.manut.api.services.exceptions,ClientNotFoundException,4,0,0,0,2,0,1,0,1,0
api,com.manut.api.services.exceptions,DatabaseException,4,0,0,0,2,0,1,0,1,0
api,com.manut.api.services.exceptions,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
api,com.manut.api,TimeZoneTest,55,0,2,0,14,0,3,0,2,0
api,com.manut.api,ApiApplication,5,3,0,0,2,1,1,1,1,1
api,com.manut.api.controllers.handlers,ControllerExceptionHandler,113,3,2,0,18,1,6,1,5,1
api,com.manut.api.config,ResourceServerConfig,0,171,0,0,0,28,0,13,0,13
